timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-06-30T00:00:00.000Z";"2025-06-30T23:59:59.999Z";"2025-06-30T00:07:00.000Z";"2025-06-30T15:22:00.000Z";"2781";3.377328973;3.3981830073;3.1467049829;3.2141848399;70273679.66;1665361634.62;"2025-06-30T23:59:59.999Z"
"2025-06-29T00:00:00.000Z";"2025-06-29T23:59:59.999Z";"2025-06-29T22:32:00.000Z";"2025-06-29T04:32:00.000Z";"2781";3.2399196451;3.4296473646;3.1902812371;3.3773713342;57067248.91;1749913252.06;"2025-06-29T23:59:59.999Z"
"2025-06-28T00:00:00.000Z";"2025-06-28T23:59:59.999Z";"2025-06-28T22:25:00.000Z";"2025-06-28T00:00:00.000Z";"2781";3.1240875105;3.2571587363;3.1238953131;3.2399196451;47530731.72;1678695577.57;"2025-06-28T23:59:59.999Z"
"2025-06-27T00:00:00.000Z";"2025-06-27T23:59:59.999Z";"2025-06-27T16:39:00.000Z";"2025-06-27T01:01:00.000Z";"2781";2.9794140602;3.2585547635;2.9575698148;3.1240875105;84126938.14;1618679616.23;"2025-06-27T23:59:59.999Z"
"2025-06-26T00:00:00.000Z";"2025-06-26T23:59:59.999Z";"2025-06-26T03:09:00.000Z";"2025-06-26T16:49:00.000Z";"2781";3.0939767985;3.1830590762;2.9506891785;2.9794140602;68878721.81;1543720139.53;"2025-06-26T23:59:59.999Z"
"2025-06-25T00:00:00.000Z";"2025-06-25T23:59:59.999Z";"2025-06-25T07:31:00.000Z";"2025-06-25T23:08:00.000Z";"2781";3.1991352619;3.2766492621;3.0667211854;3.0939767985;84564704.6;1603078390.11;"2025-06-25T23:59:59.999Z"
"2025-06-24T00:00:00.000Z";"2025-06-24T23:59:59.999Z";"2025-06-24T07:20:00.000Z";"2025-06-24T19:50:00.000Z";"2781";3.2164981678;3.3484527513;3.1710072072;3.1993595043;107078862.85;1657564015.3;"2025-06-24T23:59:59.999Z"
"2025-06-23T00:00:00.000Z";"2025-06-23T23:59:59.999Z";"2025-06-23T23:52:00.000Z";"2025-06-23T16:38:00.000Z";"2781";2.795539778;3.2224018387;2.7389348012;3.2164981678;118917992.3;1666560236.34;"2025-06-23T23:59:59.999Z"
"2025-06-22T00:00:00.000Z";"2025-06-22T23:59:59.999Z";"2025-06-22T00:40:00.000Z";"2025-06-22T20:23:00.000Z";"2781";2.9379624718;2.9974371721;2.6208357654;2.795539778;112024203.66;1448449584.01;"2025-06-22T23:59:59.999Z"
"2025-06-21T00:00:00.000Z";"2025-06-21T23:59:59.999Z";"2025-06-21T12:11:00.000Z";"2025-06-21T21:36:00.000Z";"2781";3.0590615021;3.1023214329;2.8440537597;2.9385856633;66452176.34;1522565772.5;"2025-06-21T23:59:59.999Z"
"2025-06-20T00:00:00.000Z";"2025-06-20T23:59:59.999Z";"2025-06-20T13:07:00.000Z";"2025-06-20T17:40:00.000Z";"2781";3.1780678822;3.2295662625;2.9655325958;3.0590958771;67234840.23;1584987770.56;"2025-06-20T23:59:59.999Z"
"2025-06-19T00:00:00.000Z";"2025-06-19T23:59:59.999Z";"2025-06-19T00:49:00.000Z";"2025-06-19T17:34:00.000Z";"2781";3.2558526908;3.3129654791;3.1578241388;3.1780539027;54705019.59;1646648399.81;"2025-06-19T23:59:59.999Z"
"2025-06-18T00:00:00.000Z";"2025-06-18T23:59:59.999Z";"2025-06-18T05:34:00.000Z";"2025-06-18T13:31:00.000Z";"2781";3.220749999;3.2969724667;3.0674596681;3.2553907956;74159252.61;1686950946.94;"2025-06-18T23:59:59.999Z"
"2025-06-17T00:00:00.000Z";"2025-06-17T23:59:59.999Z";"2025-06-17T03:19:00.000Z";"2025-06-17T17:16:00.000Z";"2781";3.4145217784;3.473652618;3.1640502682;3.220749999;93355624.82;1668763232.44;"2025-06-17T23:59:59.999Z"
"2025-06-16T00:00:00.000Z";"2025-06-16T23:59:59.999Z";"2025-06-16T14:37:00.000Z";"2025-06-16T23:59:00.000Z";"2781";3.4644438614;3.6245311333;3.4145245562;3.4145245562;74371874.07;1769161965.97;"2025-06-16T23:59:59.999Z"
"2025-06-15T00:00:00.000Z";"2025-06-15T23:59:59.999Z";"2025-06-15T15:31:00.000Z";"2025-06-15T09:22:00.000Z";"2781";3.3831735494;3.4856022706;3.3579653408;3.4644438614;50475386.16;1794214090.03;"2025-06-15T23:59:59.999Z"
"2025-06-14T00:00:00.000Z";"2025-06-14T23:59:59.999Z";"2025-06-14T03:31:00.000Z";"2025-06-14T20:16:00.000Z";"2781";3.4526254384;3.4801653243;3.3086956774;3.3831735494;47982957.25;1752124697.12;"2025-06-14T23:59:59.999Z"
"2025-06-13T00:00:00.000Z";"2025-06-13T23:59:59.999Z";"2025-06-13T00:00:00.000Z";"2025-06-13T01:43:00.000Z";"2781";3.5475992496;3.547661735;3.2880020965;3.4525960205;124752693.31;1788078166.36;"2025-06-13T23:59:59.999Z"
"2025-06-12T00:00:00.000Z";"2025-06-12T23:59:59.999Z";"2025-06-12T00:01:00.000Z";"2025-06-12T23:18:00.000Z";"2781";3.8621901573;3.8624993273;3.537683491;3.5475992496;111148257.5;1837279752.22;"2025-06-12T23:59:59.999Z"
"2025-06-11T00:00:00.000Z";"2025-06-11T23:59:59.999Z";"2025-06-11T00:05:00.000Z";"2025-06-11T22:42:00.000Z";"2781";4.1616240739;4.1688014502;3.8219859229;3.8621901573;97039487.62;2000204441.41;"2025-06-11T23:59:59.999Z"
"2025-06-10T00:00:00.000Z";"2025-06-10T23:59:59.999Z";"2025-06-10T13:19:00.000Z";"2025-06-10T06:19:00.000Z";"2781";4.0620146062;4.1835777397;3.9580891336;4.1616240739;94868561.19;2155279418.4;"2025-06-10T23:59:59.999Z"
"2025-06-09T00:00:00.000Z";"2025-06-09T23:59:59.999Z";"2025-06-09T23:01:00.000Z";"2025-06-09T06:14:00.000Z";"2781";3.8530138775;4.0663513756;3.7952788395;4.0617991717;66240423.67;2103692289.99;"2025-06-09T23:59:59.999Z"
"2025-06-08T00:00:00.000Z";"2025-06-08T23:59:59.999Z";"2025-06-08T21:57:00.000Z";"2025-06-08T09:19:00.000Z";"2781";3.8770318375;3.9272041353;3.7919680678;3.8530138775;39840860.49;1995452102.74;"2025-06-08T23:59:59.999Z"
"2025-06-07T00:00:00.000Z";"2025-06-07T23:59:59.999Z";"2025-06-07T13:34:00.000Z";"2025-06-07T00:22:00.000Z";"2781";3.7593569187;3.9345157565;3.7504704816;3.8771237905;39667628.25;2007890855.97;"2025-06-07T23:59:59.999Z"
"2025-06-06T00:00:00.000Z";"2025-06-06T23:59:59.999Z";"2025-06-06T15:17:00.000Z";"2025-06-06T00:23:00.000Z";"2781";3.5581711298;3.8516558742;3.53456198;3.7593569187;56734501.63;1946947741.88;"2025-06-06T23:59:59.999Z"
"2025-06-05T00:00:00.000Z";"2025-06-05T23:59:59.999Z";"2025-06-05T13:10:00.000Z";"2025-06-05T21:01:00.000Z";"2781";3.748304448;3.8474334827;3.4832372303;3.5581997151;74962604.85;1842769667.89;"2025-06-05T23:59:59.999Z"
"2025-06-04T00:00:00.000Z";"2025-06-04T23:59:59.999Z";"2025-06-04T10:16:00.000Z";"2025-06-04T20:25:00.000Z";"2781";3.8679873725;4.0142286056;3.7236591735;3.748304448;62841002.06;1941223735.57;"2025-06-04T23:59:59.999Z"
"2025-06-03T00:00:00.000Z";"2025-06-03T23:59:59.999Z";"2025-06-03T15:30:00.000Z";"2025-06-03T23:54:00.000Z";"2781";3.9596365782;4.1466132626;3.8633156735;3.8679873725;76740728.81;2003206783.34;"2025-06-03T23:59:59.999Z"
"2025-06-02T00:00:00.000Z";"2025-06-02T23:59:59.999Z";"2025-06-02T22:31:00.000Z";"2025-06-02T12:25:00.000Z";"2781";3.9239894191;4.0059539062;3.7872756205;3.9596365782;54725024.23;2050671341.25;"2025-06-02T23:59:59.999Z"
"2025-06-01T00:00:00.000Z";"2025-06-01T23:59:59.999Z";"2025-06-01T05:34:00.000Z";"2025-06-01T09:43:00.000Z";"2781";3.881805244;3.9844290972;3.7830604484;3.9239549131;71492951.22;2032192027.15;"2025-06-01T23:59:59.999Z"
